"Diebenkorn, Richard","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Untitled
"Diebenkorn, Richard","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Untitled
"Diebenkorn, Richard","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Untitled
"Dill, Laddie John","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Untitled
"Dine, Jim","{""type"":""Point"",""coordinates"":[-122.4194155,37.7749295]}",Venus with Rope
"Dixon, Maynard","{""type"":""Point"",""coordinates"":[-122.4194155,37.7749295]}",Landscape
"Dixon, Willard","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Above Bolinas
"Dixon, Willard","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Death Valley II
"Donahue, Marcia","{""type"":""Point"",""coordinates"":[-122.4194155,37.7749295]}",Five Carved Stones
"Donahue, Scott","{""type"":""Point"",""coordinates"":[-122.4194155,37.7749295]}","Kate, Allan, Javier, Ting, Sloanie"
"Donahue, Scott","{""type"":""Point"",""coordinates"":[-122.467743,37.78187]}",Untitled [Richmond Library]
"Donahue, Scott","{""type"":""Point"",""coordinates"":[-122.451011,37.7701867]}",To This Place
"Dore, Paul Gustave","{""type"":""Point"",""coordinates"":[-122.4666711,37.7703537]}",La poeme de la vigne
"Downie, Romana Anzi","{""type"":""Point"",""coordinates"":[-122.415783,37.778864]}",Bust of George Moscone
"Dvortcsak, Michael","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Sublimens
"Dwyer, Gary","{""type"":""Point"",""coordinates"":[-122.4194155,37.7749295]}",Seven Dancing Stones and Seven Dancing Stars Stories
"Echelman, Janet","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Untitled [T-2 interior]
"Edstrom, David","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Florence Nightingale (1820-1910)
"Elliott, Lillian","{""type"":""Point"",""coordinates"":[-122.4194155,37.7749295]}",Untitled
"Erckenbrack, Mary E.","{""type"":""Point"",""coordinates"":[-122.4348103,37.7842191]}",Ceramic Mural on Athletics
"Eversley, Frederick","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Untitled
"Fernandez, Rudy","{""type"":""Point"",""coordinates"":[-122.412999,37.75820100000001]}",Mission Triptych #3
"Fernandez, Rudy","{""type"":""Point"",""coordinates"":[-122.412999,37.75820100000001]}",Mission Triptych #2
Fine and McCarren,"{""type"":""Point"",""coordinates"":[-122.5049211,37.7336173]}",Split Mound
"Finneran, Bean","{""type"":""Point"",""coordinates"":[-122.4194155,37.7749295]}",Untitled
"Fischer, R. M.","{""type"":""Point"",""coordinates"":[-122.4075,37.7880556]}",Union Square Colomnade
"Fleming, Alan","{""type"":""Point"",""coordinates"":[-122.4194155,37.7749295]}",Kezar Stadium Gates
"Fletcher, Harrell and Rubin, John","{""type"":""Point"",""coordinates"":[-122.4094682,37.7984339]}","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John","{""type"":""Point"",""coordinates"":[-122.4094682,37.7984339]}","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John","{""type"":""Point"",""coordinates"":[-122.4094682,37.7984339]}","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John","{""type"":""Point"",""coordinates"":[-122.4094682,37.7984339]}","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John","{""type"":""Point"",""coordinates"":[-122.4094682,37.7984339]}","""Stenciled Fortunes"" within ""Photos of People from the Neighborhood enlarged and"
"Fletcher, Harrell and Rubin, John","{""type"":""Point"",""coordinates"":[-122.4094682,37.7984339]}","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John","{""type"":""Point"",""coordinates"":[-122.4094682,37.7984339]}","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John","{""type"":""Point"",""coordinates"":[-122.4094682,37.7984339]}","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John","{""type"":""Point"",""coordinates"":[-122.4094682,37.7984339]}","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John","{""type"":""Point"",""coordinates"":[-122.4094682,37.7984339]}","Photos of People From the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John","{""type"":""Point"",""coordinates"":[-122.4094682,37.7984339]}","Photos of People From the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John","{""type"":""Point"",""coordinates"":[-122.4094682,37.7984339]}","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John","{""type"":""Point"",""coordinates"":[-122.4094682,37.7984339]}","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Fletcher, Harrell and Rubin, John","{""type"":""Point"",""coordinates"":[-122.4094682,37.7984339]}","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
"Francis, Sam","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Untitled
"French, Daniel Chester","{""type"":""Point"",""coordinates"":[-122.4666711,37.7703537]}",Thomas Starr King (1824-1864)
